SYST  VOL,DIAS VOL,SV (LV Trace),EF,EF (LV Trace),CO (LV Trace),Simp FAC,LV Mass,LV Mass (Corrected),Heart Rate_LV Trace,Ao Root,LA,IVS;d,LVID;d,LVPW;d,IVS;s,LVID;s,LVPW;s,MV E,MV A,MV Decel,IVRT,IVCT,MV E/A,E',A',E'/A',A'/E',E/ E',GLS,GCS,ESV,EDV,SV,EF_strain,CO,FS,Heart Rate_long axis,Heart Rate_short axis,Owner,Condition,Mice
49.426599,75.269815,31.457429,34.334103,38.778585,9.704091,49.381243,97.154836,77.723869,308.48329,1.211474,1.626362,0.67946,4.124324,0.652282,0.808558,3.458453,0.794969,840.486266,735.64016,7.045455,18.636364,19.545455,1.142524,-27.303247,-35.53,1.301471,0.768362,-30.783381,-8.207,-17.659,39.91,56.541,16.631,29.266,5.592,18.34,336.2,341,Razoan,Sham,187 flox
22.670286,60.622262,41.285152,62.604025,66.783393,20.203157,52.416258,128.078767,102.463014,489.356496,1.457124,2.254294,1.039062,3.765625,0.789062,1.015625,2.515625,1.078125,1016.986348,829.531241,7.708333,13.611111,18.194444,1.225977,-37.638378,-48.85,1.297872,0.770492,-27.01993,,-28.771,16.89,58.664,41.773,71.21,11.604,41.655,277.8,502.5,Razoan,Sham,191 flox
20.002844,44.579586,29.806235,55.130036,64.561957,18.080988,53.110832,91.539391,73.231513,606.617647,1.182018,1.960055,0.749375,3.31375,0.914375,0.92125,2.3925,1.244375,843.295748,497.921692,6.333333,11.805556,11.527778,1.693631,-39.797953,-55.9252377,1.405229,0.711628,-21.189425,-21.273,-29.077,12.841,34.318,21.477,62.134,11.302,27.678,526.2,526.6,Razoan,Sham,188 Lyzmer
26.766182,57.145806,38.673305,53.161599,65.507071,17.141578,42.826618,79.774445,63.819556,443.240581,1.285173,1.684765,0.707861,3.673801,0.622918,0.76449,2.689873,0.778648,922.958617,599.577453,5.9375,13.888889,20.3125,1.539348,-34.24476,-80.02459345,2.336842,0.427928,-26.95182,-15.047,-23.175,23.096,55.224,32.128,57.864,15.632,38.017,486.6,450.4,Razoan,Sham,190 Lyzmer
23.409058,49.86546,29.097888,53.055566,60.131676,13.613047,49.651361,94.230571,75.384457,467.836257,1.623577,,0.759318,3.471166,0.852295,0.84713,2.548277,1.04686,1090.832679,757.249694,7.5,17.5,23.125,1.440519,-44.772691,-69.49343984,1.552139,0.644272,-24.363795,-19.466,-26.517,18.025,47.163,29.138,61.573,13.53,30.498,464.4,483.2,Razoan,TAC_2wk,187 flox
29.043367,56.731735,30.154878,48.805784,54.205549,15.813422,44.41003,204.808751,163.847001,524.406765,1.288915,2.253879,1.160908,3.662665,1.422112,1.323435,2.780375,1.613662,1263.133975,680.192057,5.375,7.333333,13.833333,1.857025,-38.756729,-66.2423811,1.709184,0.585075,-32.591346,-11.867,-18.574,27.991,51.626,23.635,45.61,13.689,27.215,579.2,554.6,Razoan,TAC_2wk,188 Lyzmer
30.745136,53.545509,26.977657,42.581298,47.946422,12.201563,36.148345,89.318313,71.45465,452.284034,1.188879,1.718471,0.72999,3.575462,0.767235,0.715092,2.845472,0.916212,782.316835,698.782808,5.462963,7.272727,8.333333,1.119542,-39.026686,-55.16063021,1.413408,0.70751,-20.04569,-15.836,-20.45,17.378,34.443,17.065,49.326,8.278,23.702,485.1,466.6,Razoan,TAC_2wk,189 Lyzmer
16.963974,52.233923,40.189055,67.523071,74.967125,18.245406,52.91697,127.97249,102.377992,453.989432,1.633983,2.189538,0.934167,3.53875,1.02125,1.029167,2.240417,1.464583,1229.249867,1179.569625,5.555556,8.392857,13.968254,1.042117,-46.276702,-60.89037545,1.315789,0.76,-26.56304,-11.605,-20.376,28.086,57.818,29.733,51.086,14.893,27.866,500.9,473.7,Razoan,TAC_2wk,190 Lyzmer
27.016779,57.889279,30.8725,,53.330255,10.092167,26.868123,,72.067266,326.89828,1.457521,1.699238,0.80649,3.540579,0.717865,1.116678,2.782833,0.824215,839.242329,699.477139,13.666667,16.222222,13,1.199814,-22.700259,-15.240456,1.489474,0.671378,-36.970606,-14.148,-21.441,22.668,41.209,18.542,44.838,6.426,36.995,346.6,,Priya,Sham,187 flox
21.320013,45.141051,24.09,,52.770233,,26.315778,,90.341162,,1.33164,1.790482,0.964219,3.330937,0.94875,1.289062,2.454375,1.299375,836.653939,549.727801,8.888889,11.870915,13.415033,1.521942,-37.808055,-27.210693,1.389456,0.719706,-22.128987,16.363,-26.87,16.363,40.895,24.533,59.976,12.91,49.463,526.2,,Priya,Sham,188 Lyzmer
21.021548,56.507853,35.486305,,61.395416,16.3086,32.22507,,64.771254,459.574468,1.46783,1.833614,0.738638,3.610093,0.637075,1.098724,2.446738,0.978695,907.166615,586.535744,13.055556,14.62963,12.407407,1.546652,-28.418303,-14.839396,1.915058,0.522177,-31.921914,-14.356,-22.694,22.752,46.689,23.937,50.987,11.441,40.577,478,,Priya,Sham,190 Lyzmer
21.172571,55.927633,34.755063,,62.142917,16.803415,32.77903,,91.322837,483.481064,1.370875,1.995429,0.888453,3.610633,0.878122,1.317184,2.463908,1.203544,1078.393992,724.682948,10.618103,14.393723,13.424688,1.488091,-31.005384,-23.50856,1.318898,0.758209,-34.780862,-15.558,-25.748,20.093,51.477,31.384,60.815,14.701,46.071,468.4,,Priya,TAC_2wk,187 flox
24.177985,59.200545,35.02256,,59.159185,19.814121,23.520014,,182.666476,565.75308,1.550834,2.422747,1.317631,3.627838,1.474353,1.677512,2.77457,1.619467,1275.945758,1141.420713,9.375,12.03125,12.291667,1.117858,-33.041557,-40.075614,0.82448,1.212885,-38.616393,-12.546,-18.511,33.417,58.336,24.919,42.533,14.407,33.376,578.2,,Priya,TAC_2wk,188 Lyzmer
28.916871,54.962071,34.38933,,47.387588,16.551015,23.214829,,80.281074,481.283422,1.600934,1.953545,0.860346,3.614569,0.748612,1.13074,2.775453,0.960906,765.087942,651.533874,6.628425,16.453081,14.711485,1.174287,-33.120897,-40.657389,0.814634,1.227545,-23.099856,-14.694,-17.877,21.624,42.9,21.275,49.437,10.022,32.259,471,,Priya,TAC_2wk,189 Lyzmer
18.669624,51.394812,42.363823,,63.674108,20.264026,33.783784,,146.171272,478.333274,1.615683,2.372544,1.419062,3.515,1.074687,1.87625,2.3275,1.4725,1237.262809,1168.672024,6.571429,12,11.809524,1.058691,-36.147246,-44.703295,0.808604,1.2367,-34.228411,-21.69,-29.748,28.139,64.858,36.719,56.595,18.538,50.553,504.9,,Priya,TAC_2wk,190 Lyzmer
